115.673,0.995652,0.995636
-nan,-nan,-nan
-nan,-nan,-nan
-nan,-nan,-nan
79.872,0.795749,0.759254
47.2196,0.392652,0.382933
63.9431,0.587976,0.57735
121.394,0.931554,0.818981
70.1492,0.568727,0.538678
112.286,0.969982,0.811985
65.7976,0.399952,0.397956
95.876,0.769147,0.69858
94.6609,0.782654,0.742994
84.5449,0.756599,0.738744
89.1198,0.760046,0.730017
59.1135,0.399197,0.390172
83.5457,0.998572,0.971933
66.567,0.998376,0.975594
-nan,-nan,-nan
-nan,-nan,-nan
-nan,-nan,-nan
-nan,-nan,-nan
55.5144,0.915019,0.817052
-nan,-nan,-nan
-nan,-nan,-nan
-nan,-nan,-nan
-nan,-nan,-nan
29.0198,1,0.974542
68.6334,1.52478,1.05567
54.8208,1.96004,1.47563
52.0555,1.99036,1.47134
53.2727,1.99351,1.49225
81.4627,1.98449,1.43002
51.0719,0.990468,0.956668
55.7444,1.88591,1.28411
75.7943,1.94456,1.37897
60.8083,1.94702,1.37474
39.7539,0.998518,0.744137
80.7599,0.999846,0.795049
59.8524,0.941045,0.870423
-nan,-nan,-nan
-nan,-nan,-nan
-nan,-nan,-nan
-nan,-nan,-nan
-nan,-nan,-nan
44.1505,0.956454,0.537627
94.3483,0.982203,0.850567
76.7619,0.997145,0.795662
112.462,0.93721,0.813948
95.7737,0.98709,0.800957
98.3291,0.955712,0.805976
111.12,0.993392,0.863719
47.3348,0.999656,0.869784
56.4237,0.996777,0.986581
116.31,0.973539,0.927427
114.835,0.964151,0.906564
121.88,0.957757,0.92754
129.945,0.987432,0.626149
138.702,0.998625,0.58528
83.9169,0.901212,0.851837
77.9214,0.966404,0.862916
88.6127,0.722237,0.679155
88.8012,0.728206,0.712086
82.687,0.704127,0.675949
79.8978,0.734032,0.650677
68.2111,0.741333,0.652836
105.283,0.966653,0.918023
108.66,0.965868,0.811352
95.144,0.86608,0.746898
83.7376,0.987727,0.978373
94.0371,0.882105,0.774005
90.431,0.923105,0.79145
97.2122,0.963161,0.814273
104.228,0.975452,0.821168
100.366,0.835237,0.731579
101.71,0.943768,0.799716
93.04,0.993619,0.891088
91.255,0.995374,0.973197
107.622,0.952141,0.809206
101.816,0.983272,0.818853
85.4427,0.945897,0.80402
102.191,0.959264,0.827247
94.3911,0.922137,0.881331
67.4632,0.949888,0.78383
88.0547,0.985783,0.798585
103.792,0.982746,0.964841
111.201,0.963776,0.836228
109.085,0.96459,0.84432
127.406,0.983855,0.962671
117.934,0.971821,0.9319
105.767,0.959153,0.806429
114.179,0.997684,0.949963
99.049,0.942759,0.791124
90.1781,0.922523,0.881518
111.458,0.924076,0.792887
100.682,0.922768,0.910678
107.271,0.868083,0.753315
119.847,0.989693,0.973506
94.8695,0.911696,0.757077
83.8021,0.948453,0.859086
112.704,0.955614,0.842234
108.045,0.974847,0.951888
106.328,0.933099,0.877587
111.929,0.944927,0.900074
114.89,0.993668,0.864113
87.1902,0.983193,0.851421
106.25,0.928967,0.808937
92.302,0.885621,0.8318
101.071,0.977568,0.838907
93.7927,0.883203,0.710297
95.2651,0.926161,0.866487
88.3854,0.913385,0.799814
96.0192,0.976973,0.848528
99.8174,0.971079,0.953927
101.145,0.949742,0.911485
97.1831,0.963997,0.84414
89.0007,0.99459,0.955127
99.2769,0.917508,0.791364
106.172,0.934077,0.826892
103.228,0.935495,0.800018
99.995,0.966822,0.955747
79.7145,0.996774,0.906336
111.2,0.957423,0.948472
99.0642,0.913793,0.778612
106.617,0.971292,0.939293
95.4423,0.968048,0.878469
93.3233,0.92859,0.769372
88.3798,0.954578,0.793227
93.2062,0.958885,0.787607
82.707,0.999095,0.969798
81.7643,0.994507,0.838486
70.7503,0.96321,0.930492
83.333,0.950315,0.883105
83.4662,0.965063,0.871426
76.5977,0.993746,0.865698
88.7339,0.944469,0.94261
73.2185,0.975186,0.84737
82.8934,0.99403,0.88734
82.4377,0.946569,0.901032
